Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE98848156955855,Sun Feb 09 05:30:49 CET 2020,-4732.01,EUR,Voluptatem et deserunt aut.
Jos,BE69771770897312,BE89178626753192,Tue Jan 28 01:12:27 CET 2020,-2255.38,EUR,Atque modi quibusdam.
Jos,BE69771770897312,BE48356710792073,Sat Feb 15 03:13:22 CET 2020,-3576.66,EUR,Inventore doloribus nam vel similique illum debitis.
Jos,BE69771770897312,BE70971105617449,Mon Feb 03 07:10:43 CET 2020,2054.13,EUR,Eveniet ullam itaque dolor culpa.
Jos,BE69771770897312,BE88580697103827,Tue Feb 11 07:25:52 CET 2020,-3336.09,EUR,Dolorem ratione error minima nostrum sit cupiditate sint.
Jos,BE69771770897312,BE38888915232608,Sun Feb 16 19:32:18 CET 2020,-3352.32,EUR,Eaque qui consequatur quibusdam voluptatem nihil eos tempore.
Jos,BE69771770897312,BE66360315699264,Tue Feb 18 08:55:52 CET 2020,4257.07,EUR,Illo perferendis illum ut sit.
Jos,BE69771770897312,BE37775513302612,Thu Feb 13 14:34:29 CET 2020,4006.38,EUR,Ut corporis nam pariatur.
Jos,BE69771770897312,BE97032310478842,Tue Feb 11 10:35:04 CET 2020,240.23,EUR,Ut nisi inventore vel.
Jos,BE69771770897312,BE10472531231919,Sat Feb 15 06:59:55 CET 2020,487.67,EUR,Laudantium laborum doloribus corrupti quo.
Jos,BE69771770897312,BE68111073543799,Sat Feb 15 23:30:52 CET 2020,4226.77,EUR,Labore doloribus quia.
Jos,BE69771770897312,BE68001874207558,Tue Feb 04 22:05:16 CET 2020,-4908.82,EUR,Sed nemo quos minus enim fugit.
Jos,BE69771770897312,BE26231223278696,Sun Feb 16 04:55:21 CET 2020,1739.68,EUR,Odio architecto explicabo vel pariatur.
Jos,BE69771770897312,BE40298047063250,Fri Jan 24 08:01:00 CET 2020,2734.15,EUR,Amet ipsum voluptas repellendus.
Jos,BE69771770897312,BE17306586535488,Tue Feb 04 17:51:44 CET 2020,2484.05,EUR,Quos natus qui magnam.
Jos,BE69771770897312,BE15082597574174,Tue Feb 18 14:20:30 CET 2020,-1388.88,EUR,Reprehenderit dolorum pariatur dolor omnis voluptate officiis vitae.
Jos,BE69771770897312,BE13683597906759,Sat Feb 15 05:48:16 CET 2020,-4073.32,EUR,Esse et quisquam totam delectus.
Jos,BE69771770897312,BE17498722827540,Wed Feb 05 15:54:53 CET 2020,-1411.28,EUR,Assumenda nostrum ipsam voluptas fugiat fugiat nihil.
